,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,709,3,1,0,7,1,81,8,143,0,0,0,0,0,0,1,0,0,5,0,0,8,0,1,314,0,2,4,12,124,11,18,34,1,11,3,29,1,0,0
1,4,178,0,2,2,17,38,4,27,65,57,0,0,0,0,0,1,0,2,15,9,89,17,13,24,8,7,41,113,9,4,3,23,7,0,0,49,0,41,28
2,2,1,250,0,1,6,2,4,0,0,0,0,1,0,0,0,0,60,10,0,0,1,0,0,3,0,0,3,0,2,52,6,1,12,77,18,4,51,0,1
3,0,2,0,148,29,1,0,0,0,0,0,0,0,0,0,42,38,0,4,3,11,0,1,0,1,76,48,1,4,15,0,0,21,0,0,0,0,0,0,0
4,3,1,0,29,42,1,13,0,0,0,5,0,0,0,0,1,6,0,0,3,4,1,0,1,1,21,15,2,4,14,0,0,35,0,0,0,2,0,1,2
5,4,12,5,1,2,308,31,72,4,2,0,0,0,0,0,0,0,15,99,0,1,15,0,0,4,0,2,68,16,16,34,26,21,49,9,0,90,0,4,15
6,66,59,3,3,9,24,216,8,46,3,0,0,0,0,0,0,6,1,14,0,1,6,0,0,27,10,29,50,105,86,6,23,97,2,8,4,119,3,0,3
7,1,1,8,0,0,75,3,579,1,5,0,0,0,0,0,0,0,8,66,0,0,4,0,0,5,0,0,12,1,1,15,5,1,200,0,0,12,0,2,6
8,124,16,0,0,1,0,50,1,235,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,149,13,6,2,26,82,0,6,15,0,0,1,18,0,0,0
9,0,66,0,1,0,0,1,2,0,156,20,0,0,0,0,0,0,0,1,3,1,102,37,12,1,5,1,26,5,0,0,0,0,1,0,0,20,0,48,0
10,2,62,0,0,7,3,0,1,2,27,68,0,0,0,0,0,0,0,0,23,19,18,33,13,0,0,0,4,8,0,0,0,0,0,0,0,1,0,17,2
11,0,0,0,0,0,0,0,0,0,0,0,341,47,36,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0,0
12,1,0,0,0,0,0,0,0,0,0,0,41,53,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0
13,0,0,0,0,0,0,0,0,0,0,0,15,31,80,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0
14,0,0,0,0,0,0,0,0,0,0,0,14,5,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,1,0,0,43,1,0,0,0,0,0,1,0,0,0,0,75,90,0,0,3,7,0,0,0,0,44,1,0,0,0,4,0,8,0,0,0,0,0,0,0
16,0,0,0,49,1,1,8,0,0,0,1,0,0,0,0,106,150,0,0,3,41,0,0,0,1,71,8,2,5,2,5,0,5,0,0,0,1,0,0,0
17,4,0,58,0,1,15,1,23,0,0,0,0,0,0,0,0,0,103,29,0,0,0,0,0,0,1,1,7,15,1,20,4,4,31,4,0,6,1,0,0
18,10,5,13,4,0,102,3,59,0,0,0,0,0,0,0,0,0,49,271,1,2,2,0,0,0,0,2,31,8,2,85,8,6,100,52,7,17,10,1,4
19,0,8,0,3,2,1,2,1,0,0,10,0,0,0,0,2,6,0,1,88,38,6,17,4,0,13,5,5,15,0,0,1,15,0,0,0,0,0,1,0
20,0,6,0,5,4,0,2,0,2,3,8,0,0,0,0,8,23,0,0,25,57,1,25,2,0,46,13,1,6,0,0,0,12,0,0,0,2,0,0,0
21,4,79,1,0,2,22,4,3,0,100,20,0,0,0,0,0,0,1,1,6,1,153,14,5,0,3,4,36,16,5,0,0,3,7,0,0,31,0,74,27
22,0,23,0,2,0,1,0,0,1,25,32,0,0,0,0,0,2,0,0,24,16,11,93,43,0,1,1,2,4,0,5,0,0,0,0,0,2,0,16,0
23,1,7,0,4,0,0,0,0,0,2,21,0,0,0,0,0,1,0,0,7,0,4,33,106,0,0,0,1,3,0,4,1,0,0,0,0,1,0,8,0
24,308,15,5,1,0,8,22,1,167,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1094,3,1,3,13,114,1,14,20,0,2,3,3,0,0,1
25,1,3,0,61,21,0,12,0,11,2,7,0,0,0,0,29,81,0,0,10,46,1,3,1,0,131,27,0,8,5,3,0,24,0,0,0,2,0,0,0
26,0,4,0,51,13,1,21,0,3,1,3,0,0,0,0,19,8,0,2,5,15,2,0,1,7,21,69,2,62,8,0,1,49,0,1,1,27,2,13,1
27,6,40,2,0,4,102,64,10,2,14,2,0,0,0,0,0,2,6,27,4,3,50,1,1,2,0,4,198,50,5,8,8,21,9,0,1,54,0,12,26
28,5,114,1,6,3,30,99,1,19,2,9,0,0,0,0,2,2,9,4,14,5,14,4,6,7,6,52,48,310,16,9,15,71,12,0,0,107,0,25,19
29,141,22,0,12,24,5,93,1,124,1,1,0,0,0,0,0,1,0,2,0,0,1,1,0,109,7,21,7,17,310,9,12,99,0,8,0,18,10,0,2
30,16,2,45,0,0,39,8,8,0,0,0,0,0,0,0,5,0,28,99,0,0,0,0,5,2,0,4,13,41,3,293,52,2,3,48,12,4,4,0,4
31,16,0,2,1,0,28,16,3,5,1,0,0,0,0,0,2,1,4,10,0,0,0,0,3,12,0,2,5,17,9,49,140,4,3,8,8,44,2,0,0
32,45,19,1,22,47,20,81,0,23,0,0,0,0,0,0,10,4,1,5,20,8,2,1,0,20,28,74,22,78,84,7,6,174,2,1,0,34,0,1,2
33,2,2,12,0,0,31,1,210,0,0,0,0,0,0,0,0,0,30,90,0,0,2,0,0,2,0,0,12,8,1,19,3,1,293,1,0,28,1,0,3
34,2,0,60,0,0,5,8,0,0,0,0,3,1,0,0,0,0,8,24,0,0,0,0,0,0,0,1,0,0,5,43,3,0,3,217,34,0,8,0,0
35,3,0,16,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,2,0,29,5,1,0,33,91,0,45,0,0
36,23,49,14,1,0,71,116,18,27,16,1,0,0,0,0,0,2,14,25,3,2,28,1,0,10,2,26,44,122,37,20,40,51,27,6,4,195,0,17,7
37,1,0,57,0,0,0,1,0,0,0,0,7,2,3,0,0,0,1,10,0,0,0,0,0,2,0,0,1,0,3,5,2,0,3,13,65,0,669,0,0
38,0,39,0,0,2,4,0,0,0,36,12,0,0,0,0,0,2,0,1,4,0,59,8,8,0,0,12,17,26,0,0,0,1,0,0,0,9,0,148,7
39,0,29,1,0,0,22,5,12,0,2,2,0,0,0,0,0,0,1,4,0,1,14,0,0,0,0,2,21,22,3,0,0,1,1,0,0,5,0,3,80
