estacion,patinetes_iniciales,slots,patinetes_finales
0,3,3,1
1,6,6,3
2,3,3,3
3,1,3,2
4,3,7,6
5,3,7,7
6,2,5,2
7,1,11,9
8,2,3,2
9,4,4,3
10,2,5,2
11,1,3,3
12,2,6,6
13,1,3,1
14,2,7,3
15,5,5,2
16,1,2,1
17,3,3,3
18,1,8,4
19,3,7,5
20,2,5,5
21,3,5,1
22,2,4,4
23,4,6,2
24,3,4,2
25,5,5,2
26,1,6,5
27,7,7,4
28,7,7,0
29,2,9,6
30,3,3,0
31,4,4,0
32,1,10,10
33,7,7,6
34,2,8,8
35,1,6,4
36,10,10,3
37,2,3,3
38,3,4,0
39,2,3,0
40,1,4,2
41,4,4,0
42,1,4,3
43,4,6,4
44,8,8,0
45,5,5,5
46,3,3,2
47,1,8,8
48,13,13,4
49,1,6,6
50,1,3,1
51,1,3,2
52,1,5,2
53,4,4,0
54,3,4,2
55,1,7,2
56,1,10,3
57,5,7,5
58,4,4,1
59,3,4,1
60,4,5,0
61,2,5,5
62,3,3,3
63,3,3,2
64,5,11,10
65,1,6,3
66,1,2,0
67,5,5,2
68,3,6,6
69,7,7,0
70,2,4,4
71,1,7,2
72,8,8,4
73,2,3,0
74,2,3,2
75,4,4,2
76,1,4,3
77,3,5,5
78,1,5,4
